Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,No. of countries
2020-01-22,555,17,28,510,0,0,0,6
2020-01-23,654,18,30,606,99,1,2,8
2020-01-24,941,26,36,879,287,8,6,9
2020-01-25,1434,42,39,1353,493,16,3,11
2020-01-26,2118,56,52,2010,684,14,13,13
2020-01-27,2927,82,61,2784,809,26,9,16
2020-01-28,5578,131,107,5340,2651,49,46,16
2020-01-29,6166,133,125,5908,588,2,18,18
2020-01-30,8234,171,141,7922,2068,38,16,20
2020-01-31,9927,213,219,9495,1693,42,78,24
2020-02-01,12038,259,281,11498,2111,46,62,25
2020-02-02,16787,362,459,15966,4749,103,178,25
2020-02-03,19887,426,604,18857,3100,64,145,25
2020-02-04,23898,492,821,22585,4011,66,217,26
2020-02-05,27643,564,1071,26008,3745,72,250,26
2020-02-06,30802,634,1418,28750,3159,70,347,26
2020-02-07,34334,719,1903,31712,3532,85,485,26
2020-02-08,37068,806,2470,33792,2734,87,567,26
2020-02-09,40095,906,3057,36132,3027,100,587,26
2020-02-10,42633,1013,3714,37906,2538,107,657,26
2020-02-11,44675,1113,4417,39145,2042,100,703,26
2020-02-12,46561,1118,4849,40594,1886,5,432,26
2020-02-13,60206,1371,5930,52905,13645,253,1081,26
2020-02-14,66690,1523,7613,57554,6484,152,1683,27
2020-02-15,68765,1666,8902,58197,2075,143,1289,27
2020-02-16,70879,1770,10319,58790,2114,104,1417,27
2020-02-17,72815,1868,11951,58996,1936,98,1632,27
2020-02-18,74609,2008,13693,58908,1794,140,1742,27
2020-02-19,75030,2123,15394,57513,421,115,1701,28
2020-02-20,75577,2246,17369,55962,547,123,1975,28
2020-02-21,76206,2250,17966,55990,629,4,597,30
2020-02-22,77967,2457,21849,53661,1761,207,3883,30
2020-02-23,78290,2467,22304,53519,323,10,455,31
2020-02-24,78854,2627,24047,52180,564,160,1743,36
2020-02-25,79707,2707,26652,50348,853,80,2605,41
2020-02-26,80670,2767,29077,48826,963,60,2425,47
2020-02-27,82034,2810,31919,47305,1364,43,2842,51
2020-02-28,83411,2867,35306,45238,1377,57,3387,57
2020-02-29,85306,2936,38314,44056,1895,69,3008,61
2020-03-01,87690,2990,41208,43492,2384,54,2894,66
2020-03-02,89664,3079,44085,42500,1974,89,2877,73
2020-03-03,92241,3154,46681,42406,2577,75,2596,76
2020-03-04,94540,3249,49619,41672,2299,95,2938,80
2020-03-05,97331,3342,52237,41752,2791,93,2618,84
2020-03-06,101274,3454,54270,43550,3943,112,2033,93
2020-03-07,105312,3553,56760,44999,4038,99,2490,94
2020-03-08,109266,3797,59092,46377,3954,244,2332,99
2020-03-09,113166,3981,60891,48294,3900,184,1799,102
2020-03-10,118190,4260,62802,51128,5024,279,1911,105
2020-03-11,125853,4604,65113,56136,7663,344,2311,111
2020-03-12,131603,4909,66434,60260,5750,305,1321,113
2020-03-13,146008,5406,68359,72243,14405,497,1925,120
2020-03-14,157114,5823,70729,80562,11106,417,2370,133
2020-03-15,168260,6464,74139,87657,11146,641,3410,137
2020-03-16,182919,7144,76192,99583,14659,680,2053,143
2020-03-17,198757,7948,78944,111865,15838,804,2752,146
2020-03-18,218343,8845,81427,128071,19586,897,2483,150
2020-03-19,246261,9951,83064,153246,27918,1106,1637,154
2020-03-20,275869,11429,85509,178931,29608,1478,2445,161
2020-03-21,308175,13134,89775,205266,32306,1705,4266,163
2020-03-22,341585,14831,95990,230764,33410,1697,6215,168
2020-03-23,383750,16748,96456,270546,42165,1917,466,169
2020-03-24,424889,19016,105997,299876,41154,2268,9541,171
2020-03-25,475706,21793,111445,342468,50817,2777,5448,174
2020-03-26,538666,24800,119804,394062,62960,3007,8359,175
2020-03-27,603066,28318,128508,446240,64400,3518,8704,176
2020-03-28,670723,31997,136800,501926,67657,3679,8292,176
2020-03-29,730300,35470,146261,548569,59577,3473,9461,176
2020-03-30,794939,39634,161707,593598,64639,4164,15446,177
2020-03-31,871355,44478,174074,652803,76416,4844,12367,179
2020-04-01,947569,50029,189434,708106,76214,5551,15360,179
2020-04-02,1028968,56334,206052,766582,81399,6305,16618,180
2020-04-03,1112123,62319,221060,828744,83155,5985,15008,180
2020-04-04,1192586,68160,241072,883354,80463,5841,20012,180
2020-04-05,1264304,73181,254477,936646,71718,5021,13405,182
2020-04-06,1336976,79013,270812,987151,72672,5832,16335,183
2020-04-07,1413849,86915,293665,1033269,76873,7902,22853,183
2020-04-08,1497624,93650,322017,1081957,83775,6735,28352,183
2020-04-09,1584249,101279,346349,1136621,86625,7629,24332,183
2020-04-10,1671907,108551,367477,1195879,87658,7272,21128,184
2020-04-11,1748872,114620,392991,1241261,76965,6069,25514,184
2020-04-12,1845653,120351,411864,1313438,96802,5731,18873,184
2020-04-13,1915247,126098,438395,1350754,69594,5747,26531,184
2020-04-14,1985174,132996,463014,1389164,69927,6898,24619,184
2020-04-15,2066003,141308,498925,1425770,80829,8312,35911,184
2020-04-16,2162715,148591,529015,1485109,96712,7283,30090,184
2020-04-17,2250439,157481,554287,1538671,87724,8890,25272,184
2020-04-18,2324396,163952,577789,1582655,73958,6471,23502,184
2020-04-19,2404919,168522,608557,1627840,80523,4570,30768,184
2020-04-20,2478258,173965,629862,1674431,73339,5443,21305,184
2020-04-21,2553508,181122,664043,1708343,75250,7157,34181,184
2020-04-22,2630314,187877,693207,1749230,78994,6755,29164,184
2020-04-23,2719327,194727,721689,1802911,89013,6850,28482,184
2020-04-24,2806267,201401,771329,1833537,96974,6674,49640,184
2020-04-25,2891199,206979,798239,1885981,84932,5578,26910,184
2020-04-26,2964146,210862,825969,1927315,72948,3883,27730,184
2020-04-27,3032850,215511,852382,1964957,68704,4649,26413,184
2020-04-28,3108149,221974,884680,2001495,75404,6463,32298,184
2020-04-29,3185195,228742,925752,2030701,79558,6768,41072,184
2020-04-30,3268876,234704,989616,2044556,83681,5962,63864,186
2020-05-01,3355922,239881,1026501,2089540,87046,5177,36885,186
2020-05-02,3437608,245206,1066362,2126040,81853,5325,39861,186
2020-05-03,3515244,248659,1097577,2169008,77636,3453,31215,186
2020-05-04,3591321,252787,1130526,2208008,76078,4128,32949,186
2020-05-05,3671310,258658,1166155,2246497,79989,5871,35629,186
2020-05-06,3761332,265327,1210894,2285111,90022,6669,44739,186
2020-05-07,3850418,270736,1249311,2330371,90669,5409,38417,186
2020-05-08,3941935,276304,1284849,2380782,92997,5568,35538,186
2020-05-09,4027781,280569,1337367,2409845,85846,4265,52518,186
2020-05-10,4104027,284135,1370108,2449784,76255,3566,32741,186
2020-05-11,4180268,287608,1416204,2476456,76298,3473,46096,186
2020-05-12,4263867,293155,1452191,2518521,83619,5547,35987,186
2020-05-13,4348619,298383,1506905,2543331,84917,5228,54714,187
